,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,,,,,,,,,,,
,,,4,Depan damkar,"-7.118948, 110.404937",-,tiang 4.jpg,jb 4.jpg,-,https://drive.google.com/file/d/1UPQF08splMb1lJZcIkbBDd9jo4690cSQ/view?usp=drive_link,https://drive.google.com/file/d/1roQBo7BM21oDNFzxIUsNHUxiFN4p2DL4/view?usp=drive_link,,,,,,,,,,
,,,5,Depan DPU,"-7.118753, 110.405361",isp 5.jpg,tiang 5.jpg,-,https://drive.google.com/file/d/1XtsDD63DjT5zdYOPYgstlgJx6EHN7Fxy/view?usp=drive_link,https://drive.google.com/file/d/1hK17kAN2YxsFmXr1-JOy3SGe99l4qB3K/view?usp=drive_link,-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
,,,1,Pertigaan depan Dinkes,"-7.1287938, 110.4098330",-,Tiang 1.jpg,joint box 1.jpg,-,https://drive.google.com/file/d/1YdA9B7I6BPEVxPLEbixcnz7D0EweT61m/view?usp=drive_link,https://drive.google.com/file/d/1ku5MzOCOf7Gn-HJY0b_moJhzcSciWnRu/view?usp=drive_link,,,,,,,,,,
,,,2,Depan Mr.Blue Laundry,"-7.1287841, 110.4091933",-,tiang 2.jpg,joint box 2.jpg,-,https://drive.google.com/file/d/1aUI2sFmDNmKLVAnnTiw1jkv0f40tTPSK/view?usp=drive_link,https://drive.google.com/file/d/1Nj2tXJh3CZS9LRamCvpycAe7-09FE5Vp/view?usp=drive_link,,,,,,,,,,
,,,3,Depan Kel Ungaran,"-7.1287765, 110.4088969",isp 3.jpg,Tiang 3.jpg,joint box 3.jpg,https://drive.google.com/file/d/1AR3vw9HmXurfIOFlElxVFJF83qV6QtIM/view?usp=drive_link,https://drive.google.com/file/d/11ml0asy97mNefr8fZ0yizSWbyGYuPT-s/view?usp=drive_link,https://drive.google.com/file/d/1z16gPrsWHzGhyby9DJsn7qDMFxUxxhks/view?usp=drive_link,,,,,,,,,,
,,,4,Depan Kencana Copy,"-7.1287046, 110.4080533",-,tiang 4.jpg,joint box 4.jpg,-,https://drive.google.com/file/d/1CsUfMUhjUI-D0JxbwuAocWnMP6H9dNeS/view?usp=drive_link,https://drive.google.com/file/d/1GrgbLS1cz_OfI8ZHsVOkF5plCP_C0jAt/view?usp=drive_link,,,,,,,,,,
,,,5,Depan nasi hainan ayam panggang,"-7.1286544, 110.4068762",isp 5.jpg,tiang 5.jpg,-,https://drive.google.com/file/d/16OsjxnMnHtnNRbd7vvmIXtT6zWovNMm5/view?usp=drive_link,https://drive.google.com/file/d/1zuqMZ4Atx5G6CxcNLJwjYLggXDnd3i6o/view?usp=drive_link,-,,,,,,,,,,
,,,6,Depan SDN Ungaran 02,"-7.1286341, 110.4065778",isp 6.jpg,tiang 6.jpg,-,https://drive.google.com/file/d/1AARw6YaRstJcYl3A1jN8HzzKIrwgDuxe/view?usp=drive_link,https://drive.google.com/file/d/1FFC6JS5WtHOVhBx8kwHhyCxw6pQZnY19/view?usp=drive_link,-,,,,,,,,,,
,,,7,Depan new citra salon,"-7.1285409, 110.4057114",-,tiang 7.jpg,joint box 7.jpg,-,https://drive.google.com/file/d/1s0rAuewE1teeoNOFp6ZihzJEGMYpdoH0/view?usp=drive_link,https://drive.google.com/file/d/1bkWLCQt2JaFa06yVqs8Xd3OHdXkWpwno/view?usp=drive_link,,,,,,,,,,
,,,8,Depan swiwings,"-7.1287478, 110.4054553",isp 8.jpg,tiang 8.jpg,joint box 8.jpg,https://drive.google.com/file/d/1A3_7PaFbWMgWAFk8Glt72rVA7wqqxvUX/view?usp=drive_link,https://drive.google.com/file/d/1dM1YRi3Rm30MeJH0ZR__aP-nJz1QnyJ8/view?usp=drive_link,https://drive.google.com/file/d/13oqaCQtz5TtykH-C-VauSzv0wH41LvLc/view?usp=drive_link,,,,,,,,,,
,,,9,Seberang kesbangpol kab,"-7.1291022, 110.4053450",-,tiang 9.jpg,joint box 9.jpg,-,https://drive.google.com/file/d/1p7o72u9vA_nfWc9thfAmIRFwVIGXe2YH/view?usp=drive_link,https://drive.google.com/file/d/1KMWqnvCiqEAvLok6sx0YpNi-eDrzB43Y/view?usp=drive_link,,,,,,,,,,
,,,10,Seberang meloundry,"-7.1295283, 110.4051951",isp 10.jpg,tiang 10.jpg,joint box 10.jpg,https://drive.google.com/file/d/10gotPxeTLWCPgppOge72JlrCi76Td2a7/view?usp=drive_link,https://drive.google.com/file/d/1Q2BxgJADabeLtOD1DdFsp3ewVQMN_6Hv/view?usp=drive_link,https://drive.google.com/file/d/1PMcWxC9LdxjXTP7SaNGH_lT4-PHw7hDy/view?usp=drive_link,,,,,,,,,,
,,,11,Depan off-grid,"-7.1297689, 110.4048702",isp 11.jpg,tiang 11.jpg,joint box 11.jpg,https://drive.google.com/file/d/16_kW-JfjNZTzY7SAtSmlRfOcje4RbuyX/view?usp=drive_link,https://drive.google.com/file/d/1jT-TfpmHcfwZB3lCj3XJCTWd5Teiqd6h/view?usp=drive_link,https://drive.google.com/file/d/1iPXIXSqOiBXCG8Y8OXrQxfSYoZRndFAZ/view?usp=drive_link,,,,,,,,,,
,,,12,Depan polsek ungaran barat,"-7.1299565, 110.4040414",isp 12.jpg,tiang 12.jpg,joint box 12.jpg,https://drive.google.com/file/d/1AQ0591NggNPyFNRgJer5zTlDMiFpH3oc/view?usp=drive_link,https://drive.google.com/file/d/1pIuJvoP7We7Hn7w2A6Fig9sUVik8uuG9/view?usp=drive_link,https://drive.google.com/file/d/1Q3Izjin7a6yP1vvPWJiHPL__1Q5S2GH9/view?usp=drive_link,,,,,,,,,,
,,,13,Depan kantor bupati,"-7.1291018, 110.4041614",isp 13.jpg,tower 13.jpg,joint box 13.jpg,https://drive.google.com/file/d/1YWFi81GJ5gdftUBvXS0hIufFrS8A2F8k/view?usp=drive_link,https://drive.google.com/file/d/1taEeZHTrp-07ULO-KXHFpAccPtGzoW77/view?usp=drive_link,https://drive.google.com/file/d/12q_2ZglEpvsAb-ymIN2YPQgWPl25t-LI/view?usp=drive_link,,,,,,,,,,
,,,14,Belakang diskominfo,"-7.128640, 110.403440",-,tiang 14.jpg,joint box 14.jpg,-,https://drive.google.com/file/d/1TnThJuunLD5i3BFy9DGwoePpLNfHsJ4i/view?usp=drive_link,https://drive.google.com/file/d/1LWp6dRLPhA9mU3GjZHpWDHpR2VeAbCDp/view?usp=drive_link,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,1,Depan kuburan,"-7.135156,110.423733",Isp1 terowongan.jpg,Isp1 terowongan wide.jpg,-,https://drive.google.com/file/d/1oPE-V2uyEwnYoRScOTrc2ekBrFmxb80Y/view?usp=drive_link,https://drive.google.com/file/d/1js4-jBXhGE_l8eU62XMYh2XIbJ3RvAsj/view?usp=drive_link,-
,,,1,Depan tahu baso,"-7.170639,110.415016",-,Joint box 1 wide.jpg,Joint box 1.jpg,-,https://drive.google.com/file/d/115HUbF7QOBekiuax4fbvntgw3MyKUTW0/view?usp=drive_link,https://drive.google.com/file/d/1G0qPrlE2DgDS_86_XGL8k0tTiIui39Qt/view?usp=drive_link,,2,terowongan," -7.135384,110.424636",-,Jb1 terowongan wide.jpg,Jb1 terowongan.jpg,-,https://drive.google.com/file/d/1y5xgirQ8ExYq3cLIAK4isllYD53aadn1/view?usp=drive_link,https://drive.google.com/file/d/13O8Tq9V8HX9X0h3DbUMkqD4BwDp8Qwsx/view?usp=drive_link
,,,2,Seberang Sams,"-7.1700986, 110.4147367",Kotak isp 1.jpg,Kotak isp 1 wide.jpg,-,https://drive.google.com/file/d/1LWQQ4k2g6dhJ7auxlbpVYScMg_GceihL/view?usp=drive_link,https://drive.google.com/file/d/1Y8_EACYpD6m-ShCTZl1P5rmDJOYcp9Rl/view?usp=drive_link,-,,3,Per4an,"-7.134952,110.422158",Isp2 terowongan.jpg,Isp2 terowongan wide.jpg,-,https://drive.google.com/file/d/1mDV8xnEiwXWyc6fPSElXYFgD-rqzjQN8/view?usp=drive_link,https://drive.google.com/file/d/1A3WXSop9pbakXnnXsvN2RtMrhjX4T02K/view?usp=drive_link,-
,,,3,Depan Dealer Motor,"-7.168961,110.414176",-,Joint box 2 wide.jpg,Joint box 2.jpg,-,https://drive.google.com/file/d/1rCrP-_l4YgZyn_DQal81CUFYWLCWeqcx/view?usp=drive_link,https://drive.google.com/file/d/1wDosBEJheGFMjZPLcISqegnDNKZwI3Jf/view?usp=drive_link,,4,Per4an,"-7.135046,110.421998",-,Jb2 terowongan wide.jpg,Jb2 terowongan.jpg,-,https://drive.google.com/file/d/1pHVW1XZOysyE-xYJKbmXLwkqe-NGzVas/view?usp=drive_link,https://drive.google.com/file/d/1--OjxFh7HdlxxJnal2G3_PSDMe4aIw9X/view?usp=drive_link
,,,4,Depan Bank Jateng,"-7.168028,110.413825",Kotak isp 2.jpg,Kotak isp 2 wide.jpg,-,https://drive.google.com/file/d/1oQGwQrl2l94NuYHJ9VAx4h6RH1eo2pbJ/view?usp=drive_link,https://drive.google.com/file/d/1c3E4Ylsd4Lv_H5D0RwW-aVhOBB7WO2fW/view?usp=drive_link,-,,5,Per3an ,"-7.135047,110.421008",Isp3 jb3 terowongan.jpg,Isp3 jb3 terowongan wide.jpg,Isp3 jb3 terowongan.jpg,https://drive.google.com/file/d/1DbZzMS2jAvW9eJ33CssyRa8f72RPfbxd/view?usp=drive_link,https://drive.google.com/file/d/1kDGG9mDK24VBbqNmbJQp9aHh1TOF6qIj/view?usp=drive_link,https://drive.google.com/file/d/1DbZzMS2jAvW9eJ33CssyRa8f72RPfbxd/view?usp=drive_link
,,,5,Depan KSP,"-7.167827,110.413736",-,Joint box 3 wide.jpg,Joint box 3.jpg,-,https://drive.google.com/file/d/1nIzCpVRCw0XaePjkZ5mStRx3J1bJLOrw/view?usp=drive_link,https://drive.google.com/file/d/1CpJOc9sFvrcp2kzOv57HNo4TrgSz2UGx/view?usp=drive_link,,6,Per3an iphone,"-7.133008,110.420521",Isp4 terowongan.jpg,Isp4 terowongan wide.jpg,-,https://drive.google.com/file/d/1MkddQRcgnFWLqwDSUaTxrDk-ug1kv5bj/view?usp=drive_link,https://drive.google.com/file/d/1zGi0_9fPiHnX5ZZRmBhv44L3qxkIY3FO/view?usp=drive_link,-
,,,6,Seberang BRI Babadan,"-7.165632,110.413234",-,Isp 3& joint box 4 wide.jpg,Isp 3& joint box 4.jpg,-,https://drive.google.com/file/d/15C-TwBd7ut8h3rfC3CWQovz7eaQyDa8Y/view?usp=drive_link,https://drive.google.com/file/d/1nqgqmII_o8939ISkdMhyzYibJ6hPS0Z2/view?usp=drive_link,,7,per3an iphone,"-7.133008,110.420521",-,Jb4 terowongan wide.jpg,Jb4 terowongan.jpg,-,https://drive.google.com/file/d/1O8NkYVeZ2LW6iF_Wo9qiB5XaI5kGYLkO/view?usp=drive_link,https://drive.google.com/file/d/1PbNz0hzZJGvIMIWEO-KqkmG04cqGnAyZ/view?usp=drive_link
,,,7,Seberang BRI Babadan,"-7.165632,110.413234",Isp 3& joint box 4.jpg,Isp 3& joint box 4 wide.jpg,-,https://drive.google.com/file/d/1nqgqmII_o8939ISkdMhyzYibJ6hPS0Z2/view?usp=drive_link,https://drive.google.com/file/d/15C-TwBd7ut8h3rfC3CWQovz7eaQyDa8Y/view?usp=drive_link,-,,8,Depan perumahan,"-7.131801,110.419197",Isp5 jb5 terowongan.jpg,Isp5 jb5 terowongan wide.jpg,Isp5 jb5 terowongan.jpg,https://drive.google.com/file/d/10OoN6vHEc5UOa0tQOOtLBUL4ZiiuOihz/view?usp=drive_link,https://drive.google.com/file/d/1IzQXuZgGbOoRj-ZfeNWdLs3IB5cXbsT2/view?usp=drive_link,https://drive.google.com/file/d/10OoN6vHEc5UOa0tQOOtLBUL4ZiiuOihz/view?usp=drive_link
